train_vector_count;layers;batch_size;decay_rate;momentum;learning_decay_rate;clip_value;ACCURACY;total_time_milliseconds;epochs;time
1000;[784, 128, 16, 10];32;0.01;0.0;1000.0;5.0;0.3972;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;1000.0;1.0;0.3965;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;1000.0;1.0;0.3963;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;1000.0;1.0;0.3961;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;1000.0;1.0;0.3966;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.0;1000.0;1.0;0.3967;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;500.0;5.0;0.3962;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;500.0;5.0;0.3971;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;500.0;5.0;0.3963;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;500.0;5.0;0.3961;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;500.0;5.0;0.3968;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;500.0;1.0;0.397;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;500.0;1.0;0.3973;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;500.0;1.0;0.3976;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;500.0;1.0;0.3975;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;500.0;1.0;0.3979;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;1000.0;5.0;0.3977;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;1000.0;5.0;0.3982;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;1000.0;5.0;0.3975;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;1000.0;5.0;0.3978;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;1000.0;5.0;0.3976;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;1000.0;1.0;0.3979;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;1000.0;1.0;0.3978;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;1000.0;1.0;0.3981;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;1000.0;1.0;0.3979;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.0;0.0;1000.0;1.0;0.3977;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.8;500.0;5.0;0.3978;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.8;500.0;5.0;0.3992;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.8;500.0;5.0;0.3985;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.8;500.0;5.0;0.3981;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.8;500.0;5.0;0.3986;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.8;500.0;1.0;0.3989;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.8;500.0;1.0;0.3975;NULL;NULL;NULL
1000;[784, 128, 16, 10];32;0.01;0.8;500.0;1.0;0.3984;NULL;NULL;NULL
